date,start_date,end_date,type,scope,label,notes
2025-08-27,,,ptsa_event,ptsa,New Family Meeting,6-7pm
2025-08-29,,,ptsa_event,ptsa,Meet & Greet,1:30-3pm
2025-09-12,,,ptsa_event,ptsa,General Membership PTSA Meeting,6:30pm
2025-09-19,,,ptsa_event,ptsa,Ice Cream Social,
2025-09-20,,,ptsa_event,ptsa,Back-to-School Picnic,After school field
2025-10-10,,,ptsa_event,ptsa,Picture Day,
2025-10-18,,,ptsa_event,ptsa,Movie Night,6-8pm
2025-10-25,,,ptsa_event,ptsa,Harvest Fest,
2025-11-05,,,ptsa_event,ptsa,Reflections Art Due,
2025-11-14,,,ptsa_event,ptsa,General Membership PTSA Meeting,
2025-11-19,,,ptsa_event,ptsa,Picture Re-Take Day,
,2025-12-10,2025-12-12,ptsa_event,ptsa,Scholastic Book Fair,
2026-01-09,,,ptsa_event,ptsa,General Membership PTSA Meeting,
2026-01-22,,,ptsa_event,ptsa,Math Night,School event
2026-02-20,,,ptsa_event,ptsa,Science Fair,5-6:30pm
2026-03-11,,,ptsa_event,ptsa,General Membership PTSA Meeting,
2026-03-21,,,ptsa_event,ptsa,School Dance & Art Night,
2026-03-27,,,ptsa_event,ptsa,Multicultural Night,School event
2026-04-10,,,ptsa_event,ptsa,General Membership PTSA Meeting,
,2026-05-05,2026-05-09,ptsa_event,ptsa,Staff Appreciation Week,
2026-05-08,,,ptsa_event,ptsa,General Membership PTSA Meeting,
2026-06-13,,,ptsa_event,ptsa,Family Fun Night,
